year;param;region;value;scenario
1990;total_CO2;north;-0.0194347934117342;0
1990;total_CO2;south;3.32853263443893;0
1990;total_CO2;total;3.3090978410272;0
1990;lognat_CO2;north;0.22395567453174;0
1990;lognat_CO2;south;-0.52249023498202;0
1990;lognat_CO2;total;-0.29853456045028;0
1990;final_CO2;north;0.204520881120006;0
1990;final_CO2;south;2.80604239945691;0
1990;final_CO2;total;3.01056328057692;0
1991;total_CO2;north;-0.317203284947912;0
1991;total_CO2;south;3.09704225189766;0
1991;total_CO2;total;2.77983896694974;0
1991;lognat_CO2;north;0.571581006486526;0
1991;lognat_CO2;south;0.148430344303167;0
1991;lognat_CO2;total;0.720011350789693;0
1991;final_CO2;north;0.254377721538613;0
1991;final_CO2;south;3.24547259620082;0
1991;final_CO2;total;3.49985031773944;0
1992;total_CO2;north;-0.317907934531182;0
1992;total_CO2;south;3.18863054070644;0
1992;total_CO2;total;2.87072260617526;0
1992;lognat_CO2;north;0.297476351776636;0
1992;lognat_CO2;south;-0.264866234949155;0
1992;lognat_CO2;total;0.0326101168274808;0
1992;final_CO2;north;-0.020431582754546;0
1992;final_CO2;south;2.92376430575729;0
1992;final_CO2;total;2.90333272300274;0
1993;total_CO2;north;-0.774175829242625;0
1993;total_CO2;south;2.71548085785123;0
1993;total_CO2;total;1.9413050286086;0
1993;lognat_CO2;north;0.218736598822325;0
1993;lognat_CO2;south;-0.44354675974425;0
1993;lognat_CO2;total;-0.224810160921925;0
1993;final_CO2;north;-0.5554392304203;0
1993;final_CO2;south;2.27193409810698;0
1993;final_CO2;total;1.71649486768668;0
1994;total_CO2;north;-0.861541022646476;0
1994;total_CO2;south;2.65303800569303;0
1994;total_CO2;total;1.79149698304655;0
1994;lognat_CO2;north;0.0707785998133449;0
1994;lognat_CO2;south;-0.908288438583049;0
1994;lognat_CO2;total;-0.837509838769704;0
1994;final_CO2;north;-0.790762422833132;0
1994;final_CO2;south;1.74474956710998;0
1994;final_CO2;total;0.953987144276849;0
1995;total_CO2;north;-0.747861018972803;0
1995;total_CO2;south;2.82799655461739;0
1995;total_CO2;total;2.08013553564459;0
1995;lognat_CO2;north;0.042342243240381;0
1995;lognat_CO2;south;-0.982065166719623;0
1995;lognat_CO2;total;-0.939722923479242;0
1995;final_CO2;north;-0.705518775732422;0
1995;final_CO2;south;1.84593138789777;0
1995;final_CO2;total;1.14041261216535;0
1996;total_CO2;north;-0.760186630275688;0
1996;total_CO2;south;2.76123682485961;0
1996;total_CO2;total;2.00105019458393;0
1996;lognat_CO2;north;0.219953070571169;0
1996;lognat_CO2;south;-0.544322610339794;0
1996;lognat_CO2;total;-0.324369539768625;0
1996;final_CO2;north;-0.540233559704518;0
1996;final_CO2;south;2.21691421451982;0
1996;final_CO2;total;1.6766806548153;0
1997;total_CO2;north;-0.845495632104107;0
1997;total_CO2;south;2.68291047029467;0
1997;total_CO2;total;1.83741483819056;0
1997;lognat_CO2;north;0.0340153894603213;0
1997;lognat_CO2;south;-1.03413255870231;0
1997;lognat_CO2;total;-1.00011716924199;0
1997;final_CO2;north;-0.811480242643785;0
1997;final_CO2;south;1.64877791159236;0
1997;final_CO2;total;0.83729766894857;0
1998;total_CO2;north;-0.603363358727652;0
1998;total_CO2;south;2.80449108473287;0
1998;total_CO2;total;2.20112772600522;0
1998;lognat_CO2;north;-0.122886995830108;0
1998;lognat_CO2;south;-1.11727073075135;0
1998;lognat_CO2;total;-1.24015772658145;0
1998;final_CO2;north;-0.72625035455776;0
1998;final_CO2;south;1.68722035398153;0
1998;final_CO2;total;0.960969999423766;0
1999;total_CO2;north;-0.533026379199004;0
1999;total_CO2;south;2.91825453774985;0
1999;total_CO2;total;2.38522815855084;0
1999;lognat_CO2;north;-0.186682795173863;0
1999;lognat_CO2;south;-1.10597658922305;0
1999;lognat_CO2;total;-1.29265938439691;0
1999;final_CO2;north;-0.719709174372868;0
1999;final_CO2;south;1.8122779485268;0
1999;final_CO2;total;1.09256877415393;0
2000;total_CO2;north;-0.482253621316964;0
2000;total_CO2;south;2.9782873712798;0
2000;total_CO2;total;2.49603374996284;0
2000;lognat_CO2;north;-0.26627776280832;0
2000;lognat_CO2;south;-1.12667716728759;0
2000;lognat_CO2;total;-1.39295493009591;0
2000;final_CO2;north;-0.748531384125283;0
2000;final_CO2;south;1.85161020399221;0
2000;final_CO2;total;1.10307881986692;0
2001;total_CO2;north;-0.245042434439454;0
2001;total_CO2;south;3.24877519257478;0
2001;total_CO2;total;3.00373275813533;0
2001;lognat_CO2;north;-0.3488312642274;0
2001;lognat_CO2;south;-0.890531444550999;0
2001;lognat_CO2;total;-1.2393627087784;0
2001;final_CO2;north;-0.593873698666854;0
2001;final_CO2;south;2.35824374802378;0
2001;final_CO2;total;1.76437004935693;0
2002;total_CO2;north;-0.370560469935385;0
2002;total_CO2;south;3.18838318701431;0
2002;total_CO2;total;2.81782271707893;0
2002;lognat_CO2;north;-0.308984637318926;0
2002;lognat_CO2;south;-0.875687440308248;0
2002;lognat_CO2;total;-1.18467207762717;0
2002;final_CO2;north;-0.679545107254312;0
2002;final_CO2;south;2.31269574670606;0
2002;final_CO2;total;1.63315063945175;0
2003;total_CO2;north;-0.228515390338635;0
2003;total_CO2;south;3.3390371578953;0
2003;total_CO2;total;3.11052176755666;0
2003;lognat_CO2;north;-0.384028011982191;0
2003;lognat_CO2;south;-0.831091730706899;0
2003;lognat_CO2;total;-1.21511974268909;0
2003;final_CO2;north;-0.612543402320826;0
2003;final_CO2;south;2.5079454271884;0
2003;final_CO2;total;1.89540202486757;0
2004;total_CO2;north;-0.329996205402168;0
2004;total_CO2;south;3.38667896294225;0
2004;total_CO2;total;3.05668275754008;0
2004;lognat_CO2;north;-0.62958481303778;0
2004;lognat_CO2;south;-1.02504032598089;0
2004;lognat_CO2;total;-1.65462513901867;0
2004;final_CO2;north;-0.959581018439948;0
2004;final_CO2;south;2.36163863696136;0
2004;final_CO2;total;1.40205761852141;0
2005;total_CO2;north;-0.159004905214927;0
2005;total_CO2;south;3.5206009882088;0
2005;total_CO2;total;3.36159608299388;0
2005;lognat_CO2;north;-0.632106042928124;0
2005;lognat_CO2;south;-0.867257259403154;0
2005;lognat_CO2;total;-1.49936330233128;0
2005;final_CO2;north;-0.791110948143052;0
2005;final_CO2;south;2.65334372880565;0
2005;final_CO2;total;1.8622327806626;0
2006;total_CO2;north;0.246260348874741;0
2006;total_CO2;south;4.11898400771624;0
2006;total_CO2;total;4.36524435659098;0
2006;lognat_CO2;north;-0.435177977374976;0
2006;lognat_CO2;south;-0.623792115604761;0
2006;lognat_CO2;total;-1.05897009297974;0
2006;final_CO2;north;-0.188917628500235;0
2006;final_CO2;south;3.49519189211148;0
2006;final_CO2;total;3.30627426361124;0
2007;total_CO2;north;0.526838526461766;0
2007;total_CO2;south;4.4379646844194;0
2007;total_CO2;total;4.96480321088117;0
2007;lognat_CO2;north;-0.611661401249259;0
2007;lognat_CO2;south;-0.983781423233333;0
2007;lognat_CO2;total;-1.59544282448259;0
2007;final_CO2;north;-0.0848228747874927;0
2007;final_CO2;south;3.45418326118607;0
2007;final_CO2;total;3.36936038639857;0
2008;total_CO2;north;0.545157008619403;0
2008;total_CO2;south;4.55564278062646;0
2008;total_CO2;total;5.10079978924587;0
2008;lognat_CO2;north;-0.837159459540964;0
2008;lognat_CO2;south;-0.687030292004365;0
2008;lognat_CO2;total;-1.52418975154533;0
2008;final_CO2;north;-0.292002450921561;0
2008;final_CO2;south;3.8686124886221;0
2008;final_CO2;total;3.57661003770054;0
2009;total_CO2;north;0.591895862469908;0
2009;total_CO2;south;4.61598024643808;0
2009;total_CO2;total;5.20787610890799;0
2009;lognat_CO2;north;-0.292556745182565;0
2009;lognat_CO2;south;-0.256687624840339;0
2009;lognat_CO2;total;-0.549244370022904;0
2009;final_CO2;north;0.299339117287343;0
2009;final_CO2;south;4.35929262159774;0
2009;final_CO2;total;4.65863173888508;0
2010;total_CO2;north;0.720950733797157;0
2010;total_CO2;south;4.86445638260636;0
2010;total_CO2;total;5.58540711640352;0
2010;lognat_CO2;north;-0.720799055165903;0
2010;lognat_CO2;south;-1.04100180428152;0
2010;lognat_CO2;total;-1.76180085944743;0
2010;final_CO2;north;0.000151678631253503;0
2010;final_CO2;south;3.82345457832484;0
2010;final_CO2;total;3.82360625695609;0
2011;total_CO2;north;1.06033409449323;0
2011;total_CO2;south;5.22148822043117;0
2011;total_CO2;total;6.2818223149244;0
2011;lognat_CO2;north;-0.766036411929164;0
2011;lognat_CO2;south;-0.959013202256118;0
2011;lognat_CO2;total;-1.72504961418528;0
2011;final_CO2;north;0.294297682564068;0
2011;final_CO2;south;4.26247501817505;0
2011;final_CO2;total;4.55677270073912;0
2012;total_CO2;north;1.21932872960827;0
2012;total_CO2;south;5.49512250539322;0
2012;total_CO2;total;6.71445123500149;0
2012;lognat_CO2;north;-0.700246252252329;0
2012;lognat_CO2;south;-0.840496675124921;0
2012;lognat_CO2;total;-1.54074292737725;0
2012;final_CO2;north;0.519082477355944;0
2012;final_CO2;south;4.6546258302683;0
2012;final_CO2;total;5.17370830762424;0
2013;total_CO2;north;1.49468524966169;0
2013;total_CO2;south;5.87964030089641;0
2013;total_CO2;total;7.37432555055809;0
2013;lognat_CO2;north;-0.841360038542027;0
2013;lognat_CO2;south;-1.35543092603695;0
2013;lognat_CO2;total;-2.19679096457897;0
2013;final_CO2;north;0.653325211119661;0
2013;final_CO2;south;4.52420937485946;0
2013;final_CO2;total;5.17753458597912;0
2014;total_CO2;north;1.57799271642539;0
2014;total_CO2;south;6.11848799842776;0
2014;total_CO2;total;7.69648071485315;0
2014;lognat_CO2;north;-0.775907603761076;0
2014;lognat_CO2;south;-1.31387721632387;0
2014;lognat_CO2;total;-2.08978482008495;0
2014;final_CO2;north;0.802085112664314;0
2014;final_CO2;south;4.80461078210388;0
2014;final_CO2;total;5.6066958947682;0
2015;total_CO2;north;1.66361521401302;0
2015;total_CO2;south;6.32964522122431;0
2015;total_CO2;total;7.99326043523733;0
2015;lognat_CO2;north;-0.691144431982483;0
2015;lognat_CO2;south;-1.5493571340947;0
2015;lognat_CO2;total;-2.24050156607719;0
2015;final_CO2;north;0.972470782030541;0
2015;final_CO2;south;4.7802880871296;0
2015;final_CO2;total;5.75275886916014;0
2016;total_CO2;north;1.92012838605233;0
2016;total_CO2;south;6.68712796951085;0
2016;total_CO2;total;8.60725635556319;0
2016;lognat_CO2;north;-0.605510559810366;0
2016;lognat_CO2;south;-1.67977001648409;0
2016;lognat_CO2;total;-2.28528057629445;0
2016;final_CO2;north;1.31461782624197;0
2016;final_CO2;south;5.00735795302677;0
2016;final_CO2;total;6.32197577926874;0
